Samples,TICID,KICID,Tmag,Kmag,Teff,Rs,GAIAID,RUWE,Gmag,Teff_G,logg_G,[Fe/H]_G,Rs_G,SpType-ELS,Prot,Nf_previous,Nf_TESS,TESS_Sector,Nf_Kepler,Kepler_Quarter,Separation 
Sample-2,387464351,,10.487,,5446.58,0.829043,2.04781E+16,0.90486205,11.011701,5503.1523,4.5574,-0.1587,0.8046,K,4.47,2,3,['S2'],,,
Sample-2,403121294,,8.2995,,5488,1.24069,6.40218E+18,0.9950282,8.8003435,5378.8628,4.2331,-0.7179,1.3172,G,1.53,2,18,['S2'],,,
Sample-2,405846469,,9.6158,,5434,1.26875,6.06138E+18,0.91862154,10.135685,5209.2441,4.2066,-0.7558,1.3464,G,2.43,1,4,['S2'],,,
Sample-2,406376496,,9.7237,,5616,1.1406,6.06765E+18,0.9878599,10.19601,5775.8799,4.2761,-0.1963,1.1189,G,2.22,3,13,['S2'],,,
Sample-2,416741712,,10.1232,,5655.18,0.905268,3.27789E+18,1.2190233,10.615092,5747.5322,4.3777,-0.3361,0.9659,K,1.6,2,8,['S2'],,,
Sample-2,422848239,,10.1653,,5338,0.921894,2.51711E+18,1.283928,10.675035,5158.3872,4.3733,-0.8339,0.9975,K,2.4,1,6,['S2'],,,
Sample-2,423831579,,9.38398,,5512,1.3543,4.87831E+18,0.9737946,9.920472,5659.3569,4.2503,-0.1856,1.3525,F,1.51,1,17,['S2'],,,
Sample-2,425142527,,9.45279,,5865,1.22757,5.18047E+18,0.8873489,9.878394,5659.2637,4.2448,-0.5682,1.3166,G,2.88,1,5,['S2'],,,
Sample-2,430829746,,9.6906,,5128,1.24747,5.89419E+18,0.8741907,10.305833,5075.6821,4.2535,-0.4119,1.2901,K,3.32,1,5,['S2'],,,
Sample-2,43472154,,9.501,,5316,0.90474,3.18346E+18,0.97247523,10.030093,5231.2046,4.4179,-0.5953,0.9465,K,2.8,16,58,['S2'],,,
Sample-2,435003773,,9.4285,,5310,1.19366,6.05554E+18,4.83603,10.006381,5057.9604,4.2443,-0.464,1.2976,K,3.9,1,3,['S2'],,,
Sample-2,436998675,,8.622,,5236,1.24652,6.05572E+18,0.9746253,9.161878,5072.061,4.175,-0.8577,1.3504,K,1.25,2,20,['S2'],,,
Sample-2,442868242,,8.6271,,5353,0.913263,2.98202E+18,1.544188,9.171495,5097.7065,4.364,-0.9255,0.9977,K,3.2,3,12,['S2'],,,
Sample-2,455007634,,9.72629,,5792,0.981273,3.23855E+18,0.9638297,10.164434,5756.5444,4.3521,-0.284,1.0041,G,2.83,4,19,['S2'],,,
Sample-2,46386531,,7.7834,,5792,1.13545,2.97223E+18,1.0133692,8.215601,5781.2759,4.2659,-0.2375,1.1281,F,2.09,2,24,['S2'],,,
Sample-2,49935737,,9.84559,,5548,0.936259,3.24657E+18,1.0530049,10.330399,5834.2915,4.5317,-0.0052,0.9074,G,2.13,4,7,['S2'],,,
Sample-2,52588257,,8.89182,,5362,1.52956,3.34155E+18,1.7447902,9.386285,5343.5391,4.1428,-0.7427,1.5285,G,1.51,1,5,['S2'],,,
Sample-2,53417036,,8.2869,,5554.94,0.983532,3.10561E+18,1.0956967,8.806111,5027.2905,4.2488,-0.6505,1.244,K,1.53,8,27,['S2'],,,
Sample-2,55999432,,9.72528,,5835,1.15962,3.19828E+18,1.1176511,10.156592,5660.6372,4.2968,-0.5683,1.1976,G,1.86,1,3,['S2'],,,
Sample-2,737327,,9.14897,,5872,1.34924,4.87678E+18,1.3013341,9.575573,5781.498,4.2075,-0.5711,1.4016,G,1.62,1,2,['S2'],,,
Sample-2,76652075,,9.8842,,5281,1.15502,6.20717E+18,1.0922741,10.501256,4992.5869,4.2661,-0.4903,1.235,K,2.26,1,2,['S2'],,,
Sample-2,79403675,,8.0111,,5541,0.886697,6.46378E+18,0.9001558,8.492327,5553.3462,4.4295,-0.183,0.911,G,3.4,2,36,['S2'],,,
Sample-2,89187590,,10.1355,,5256,0.921588,5.08357E+18,1.0292772,10.651871,5086.0469,4.3421,-1.3211,0.9956,G,1.09,2,5,['S2'],,,
Sample-2,92347098,,10.2535,,5234,0.904472,5.09996E+18,1.211469,10.821002,5032.6313,4.3792,-0.8206,0.9769,K,3.93,5,18,['S2'],,,
Sample-3,150359500,,9.74783,,3286,0.364844,5.48184E+18,1.1006767,11.032926,3006.2886,4.109,-0.7662,0.4591,M,1.034343,109,106,"['S1', 'S2']",,,
Sample-3,201292296,,10.9008,,3379,0.476612,,,,,,,,,2.546203,31,31,"['S1', 'S2']",,,
Sample-3,201795667,,11.2926,,3313,0.504628,4.7382E+18,1.3629507,12.557485,3070.1711,3.8737,-0.6735,0.7042,M,1.282003,31,29,['S2'],,,
Sample-3,207132076,,11.0668,,4197,0.965516,4.7281E+18,1.137127,11.840347,4083.1406,4.235,-0.6375,1.0495,K,1.73221,18,14,['S2'],,,
Sample-3,220432563,,11.3002,,3387,0.372606,4.7624E+18,1.199118,12.509727,,,,,M,1.704022,29,28,"['S1', 'S2']",,,
Sample-3,220536421,,7.969,,4965,0.969053,4.72485E+18,1.5990822,8.573582,,,,,K,2.528395,45,68,"['S1', 'S2']",,,
Sample-3,231017428,,9.60304,,3530,0.48837,4.71908E+18,1.2854575,10.732318,,,,,M,3.034074,47,42,['S2'],,,
Sample-3,231907973,,9.75165,,3934,0.7024,4.90201E+18,1.0200906,10.689794,,,,,K,4.189911,33,40,"['S1', 'S2']",,,
Sample-3,234506911,,10.7682,,3526,0.590838,4.70976E+18,1.1108044,11.886477,3268.1843,3.924,-0.7847,0.7767,M,4.92012,56,52,"['S1', 'S2']",,,
Sample-3,260351540,,8.2763,,5027,1.01873,5.49505E+18,0.923437,8.838295,4877.9268,4.3177,-0.5939,1.0952,K,3.873286,16,26,"['S1', 'S2']",,,
Sample-3,277298771,,10.4446,,3870,0.732556,4.65765E+18,0.7646674,11.380416,,,,,M,1.182107,39,31,"['S1', 'S2']",,,
Sample-3,339576478,,11.4536,,4276.35,0.784677,6.49479E+18,1.2067707,12.27711,4578.5552,4.2667,-1.2542,1.0049,K,2.10463,21,18,"['S1', 'S2']",,,
Sample-3,355766445,,10.799,,3524,0.602747,4.90037E+18,1.1015377,11.930435,3260.1743,3.9202,-0.7379,0.8003,M,3.715193,30,32,"['S1', 'S2']",,,
