,Samples,TICID,KICID,all_alp_orig,all_alp_origerr,all_beta_orig,all_beta_origerr,all_alp_corr,all_alp_correrr,all_beta_corr,all_beta_correrr,up15_alp_orig,up15_alp_origerr,up15_beta_orig,up15_beta_origerr,up15_alp_corr,up15_alp_correrr,up15_beta_corr,up15_beta_correrr,up65_alp_orig,up65_alp_origerr,up65_beta_orig,up65_beta_origerr,up65_alp_corr,up65_alp_correrr,up65_beta_corr,up65_beta_correrr
0,Sample-3,150359500,,-0.926267531,0.027093834,29.42738117,0.868695256,-0.953248451,0.022559724,30.57749893,0.726632711,-1.004057237,0.022904994,31.95157169,0.737390853,-1.018453275,0.013726175,32.70039479,0.443722018,-1.036288928,0.028683848,33.00059916,0.927309045,-1.035963841,0.016076477,33.2729179,0.521484025
1,Sample-3,201292296,,-0.654734894,0.023582435,20.70314258,0.770380622,-0.89629626,0.035097625,28.86592682,1.149327317,-0.697173763,0.026400749,22.10909238,0.86647944,-0.816448809,0.024541704,26.21721348,0.806369785,-0.755730666,0.030445835,24.05876031,1.00530362,-0.810894935,0.026413643,26.03492419,0.872928953
2,Sample-3,201795667,,-0.708811971,0.03540021,22.81703898,1.159589447,-0.906934256,0.026756526,29.60564278,0.881072523,-0.745845313,0.046353683,24.04808996,1.526059386,-0.886163838,0.032760081,28.91298321,1.083198045,-0.808813108,0.079655258,26.14759238,2.643361104,-0.866922718,0.051245484,28.2698006,1.706823967
3,Sample-3,207132076,,-0.890339144,0.069824568,29.21342614,2.341846707,-0.911521109,0.063130895,30.18296562,2.132221822,-0.927054425,0.085290982,30.45431365,2.866777133,-0.891089906,0.073165152,29.48751803,2.475198074,-1.618856726,0.0604513,53.94523553,2.049966814,-0.894420533,0.099254786,29.60133159,3.367765111
4,Sample-3,220432563,,-0.614994256,0.021799607,19.24645026,0.708421152,-0.765744712,0.04286755,24.37707147,1.399907317,-0.611558768,0.024950561,19.13266281,0.812954941,-0.70338268,0.035265363,22.3090052,1.155134273,-0.588685415,0.043320522,18.3708497,1.426206382,-0.671152045,0.040506441,21.23649271,1.332985263
5,Sample-3,220536421,,-0.833092631,0.024962014,27.29717136,0.833094384,-0.867077572,0.018916241,28.69663358,0.632028589,-0.859705989,0.027526599,28.19659671,0.921223633,-0.836429669,0.020980689,27.65856962,0.704209928,-0.883304233,0.045197138,28.99412971,1.524514696,-0.921729914,0.024509345,30.56350053,0.829207044
6,Sample-3,231017428,,-0.777296952,0.038053213,24.92880022,1.232648531,-0.915937802,0.044774691,29.63231171,1.456915748,-0.823334535,0.04060822,26.43752728,1.318709486,-0.946593494,0.059968962,30.63955788,1.958707167,-0.979486949,0.049820947,31.57278216,1.62986847,-1.101745664,0.072893121,35.75383281,2.391032979
7,Sample-3,231907973,,-0.769837189,0.027337939,24.80827207,0.902793781,-0.803328852,0.01771911,26.15472451,0.588257749,-0.803820206,0.025854513,25.9442728,0.855707386,-0.788834235,0.019355817,25.66753999,0.64415724,-0.860835407,0.03336578,27.8576402,1.112985389,-0.806343913,0.025950623,26.2595026,0.868518143
8,Sample-3,234506911,,-0.641077875,0.018813341,20.67202616,0.622872071,-0.718007386,0.017334851,23.41890181,0.57587885,-0.653561058,0.021294534,21.09196429,0.707194063,-0.710496457,0.019140872,23.1655141,0.637399912,-0.657677887,0.031013114,21.23047139,1.036886987,-0.702331879,0.02450877,22.88903082,0.820048322
9,Sample-3,260351540,,-0.534751308,0.032148739,17.05591956,1.074585699,-0.763940382,0.072125256,25.04876483,2.417342038,-0.485594677,0.035530762,15.37417438,1.196535053,-0.614999661,0.056212591,19.94996537,1.894947093,-0.423516806,0.041144076,13.22976195,1.399645307,-0.463477437,0.033740079,14.73404416,1.150589379
10,Sample-3,277298771,,-0.653918675,0.024950822,21.12265503,0.830816969,-0.836584008,0.028936034,27.49181452,0.970883738,-0.664888704,0.030761667,21.49364216,1.028561677,-0.79536583,0.025984155,26.09212219,0.874257334,-0.638338923,0.045804589,20.58662589,1.542785721,-0.746579062,0.021414749,24.4277873,0.723280784
11,Sample-3,339576478,,-0.66796078,0.03480065,21.89499351,1.187686657,-0.928593633,0.042767475,31.05192447,1.464102686,-0.716199942,0.036689438,23.55870074,1.256172331,-0.894844594,0.042226139,29.88560601,1.447678141,-0.787787473,0.039942232,26.0351765,1.37405677,-0.879133917,0.057607108,29.34278389,1.984456841
12,Sample-3,355766445,,-0.75949666,0.033534075,24.28220866,1.103039308,-0.885147547,0.043529448,28.68929603,1.439089141,-0.773819061,0.040652602,24.75878208,1.341538927,-0.82753747,0.041710907,26.76250316,1.38426131,-0.736812825,0.058679466,23.51791967,1.947448882,-0.801032457,0.050278758,25.87088782,1.674099963
13,Sample-3,389660501,,-0.47789335,0.021457616,15.31296102,0.71855837,-0.591517829,0.03789944,19.37951177,1.271966426,-0.473019093,0.027713057,15.14649922,0.932428636,-0.512818718,0.036347518,16.68525916,1.230217843,-0.465019492,0.045299229,14.87018365,1.537538436,-0.467156705,0.028891066,15.11082057,0.983345257
14,Sample-3,394210384,,-0.601633509,0.029976674,19.5726004,1.000659739,-0.729437418,0.029317057,24.1158803,0.983707106,-0.639593666,0.048456185,20.85978847,1.630397808,-0.715013257,0.046533555,23.62189132,1.575268201,-0.8221367,0.051886287,27.07044011,1.759655377,-0.768807637,0.054849122,25.46862057,1.87022793
15,Sample-3,409141581,,-0.721324295,0.094793724,23.37321725,3.160009833,-0.852670763,0.071389717,28.01508727,2.393808008,-0.845754644,0.126064408,27.5553127,4.218578106,-0.844561212,0.089500046,27.74109093,3.00799533,-1.209737776,0.305332304,39.83353093,10.29126866,-0.995958705,0.17432918,32.87459904,5.894305688
16,Sample-3,425938795,,-0.690001534,0.055720273,21.91925864,1.816553182,-0.901968387,0.052880435,29.06167829,1.728805056,-0.766751346,0.07408561,24.45315909,2.427000634,-0.853487608,0.065348652,27.45989231,2.144201445,-0.907187255,0.114135163,29.10207458,3.760307341,-0.913839071,0.096174554,29.46249673,3.171120582
17,Sample-3,434096244,,-0.617153518,0.01926143,20.48202722,0.655833071,-0.876684568,0.050981224,29.63524512,1.743278514,-0.636490346,0.023954008,21.14923721,0.819046804,-0.784286313,0.039411039,26.43484907,1.352134703,-0.623938639,0.021573945,20.7066464,0.742723554,-0.685674503,0.035389263,23.00852748,1.222205365
18,Sample-3,55269690,,-0.494181504,0.029506978,16.02926871,1.005765636,-0.762287481,0.046197602,25.48397236,1.583709193,-0.531503742,0.033941729,17.31681431,1.161620969,-0.693149971,0.046538842,23.07982651,1.602185124,-0.559688589,0.03316378,18.28405154,1.144074866,-0.667195307,0.05677348,22.17694466,1.964617002
19,Sample-3,7151484,,-0.808326226,0.052872846,25.74963367,1.710100968,-0.968932653,0.052764712,31.16040797,1.710962682,-0.82099743,0.061424796,26.16409669,1.990818164,-0.962980029,0.056544213,30.96533438,1.835267652,-0.921599253,0.093122705,29.46413059,3.03638721,-0.966444562,0.09287901,31.08003933,3.033389703
0,Sample-3,,7131515,-0.947035526,0.021095958,30.93860577,0.715236129,-1.252212725,0.023269184,41.72842772,0.786705331,-0.987205517,0.031858688,32.31911545,1.089230255,-1.298636658,0.029910957,43.31587715,1.02547366,-1.031062295,0.043791563,33.83538241,1.504176806,-1.256866509,0.039419164,41.86725384,1.357705021
1,Sample-3,,7732964,-0.862570793,0.026086956,28.23949133,0.896917038,-0.586306186,0.040420767,19.37821362,1.379066779,-0.833442804,0.051199255,27.20031777,1.791111894,-0.976674069,0.068574337,33.0774816,2.409406469,-1.453644526,0.052314711,49.24264706,1.860029622,-1.097462413,0.231384637,37.44737853,8.26392014
2,Sample-3,,8935655,-1.025455428,0.032783677,32.72468462,1.078527521,-1.029914519,0.057053341,33.33545335,1.849211368,-1.234153432,0.035441795,39.73067092,1.183464273,-1.584866706,0.037437185,51.83577122,1.251721812,-1.331388343,0.034971755,43.01913732,1.174180727,-1.58836466,0.053778379,51.9551461,1.80791202
3,Sample-3,,8935942,-0.561544943,0.011099442,16.83917182,0.370503248,-0.981455031,0.034239022,31.32061558,1.138661254,-0.565761469,0.017650079,16.98283471,0.59510947,-0.856306361,0.043511783,27.04756693,1.46679168,-0.55858664,0.025915456,16.73629557,0.880110949,-0.7402046,0.030630011,23.06448317,1.039540348
